Starting training for 200 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/200]
  Batch [0/1299] D_loss: -2.1530, G_loss: 1.0039
  Batch [630/1299] D_loss: -0.2666, G_loss: 0.8090
  Batch [640/1299] D_loss: -0.3065, G_loss: -0.0692
  Batch [650/1299] D_loss: -0.3458, G_loss: 0.0754
  Batch [660/1299] D_loss: -0.3100, G_loss: 0.4402
  Batch [670/1299] D_loss: -0.3317, G_loss: 0.5228
  Batch [680/1299] D_loss: -0.1547, G_loss: 0.0274
  Batch [690/1299] D_loss: -0.0954, G_loss: -0.4968
  Batch [700/1299] D_loss: -0.0742, G_loss: 0.5372
  Batch [710/1299] D_loss: -0.0947, G_loss: -0.4529
  Batch [720/1299] D_loss: -0.5935, G_loss: 0.7085
  Batch [730/1299] D_loss: -0.1422, G_loss: -0.8915
  Batch [740/1299] D_loss: -0.0989, G_loss: 0.5752
  Batch [750/1299] D_loss: 0.0591, G_loss: -0.6867
  Batch [760/1299] D_loss: -0.2181, G_loss: 0.5944
  Batch [770/1299] D_loss: -0.3223, G_loss: -0.2889
  Batch [780/1299] D_loss: -0.2173, G_loss: 0.4163
  Batch [790/1299] D_loss: -0.1454, G_loss: -0.5067
  Batch [800/1299] D_loss: -0.1681, G_loss: 0.6313
  Batch [810/1299] D_loss: -0.0869, G_loss: -0.5729
  Batch [820/1299] D_loss: -0.4121, G_loss: 1.7313
  Batch [830/1299] D_loss: -0.0853, G_loss: -1.3824
  Batch [840/1299] D_loss: -0.2580, G_loss: 1.1617
  Batch [850/1299] D_loss: -0.4029, G_loss: -0.2067
  Batch [860/1299] D_loss: -0.3656, G_loss: 0.3146
  Batch [870/1299] D_loss: -0.2918, G_loss: -0.2217
  Batch [880/1299] D_loss: -0.1902, G_loss: 0.6173
  Batch [890/1299] D_loss: -0.3508, G_loss: -1.5857
  Batch [900/1299] D_loss: -0.2899, G_loss: 1.1529
  Batch [910/1299] D_loss: -0.3043, G_loss: -1.3474
  Batch [920/1299] D_loss: -0.4405, G_loss: 1.6966
  Batch [930/1299] D_loss: -0.2681, G_loss: 0.7112
  Batch [940/1299] D_loss: -0.3129, G_loss: -0.5978
  Batch [950/1299] D_loss: -0.0467, G_loss: 0.0738
  Batch [960/1299] D_loss: -0.2355, G_loss: 0.1088
  Batch [970/1299] D_loss: -0.2372, G_loss: -0.3799
  Batch [980/1299] D_loss: -0.2651, G_loss: -0.6305
  Batch [990/1299] D_loss: -0.2306, G_loss: 1.1810
  Batch [1000/1299] D_loss: -0.1098, G_loss: -0.3143
  Batch [1010/1299] D_loss: -0.7746, G_loss: 1.4795
  Batch [1020/1299] D_loss: -0.2722, G_loss: -1.0789
  Batch [1030/1299] D_loss: -0.1467, G_loss: 0.6218
  Batch [1040/1299] D_loss: -0.2422, G_loss: -0.4887
  Batch [1050/1299] D_loss: -0.4248, G_loss: 0.2443
  Batch [1060/1299] D_loss: -0.4554, G_loss: -0.9928
  Batch [1070/1299] D_loss: -0.2127, G_loss: 0.3400
  Batch [1080/1299] D_loss: -0.1805, G_loss: 0.2256
  Batch [1090/1299] D_loss: -0.0003, G_loss: -0.2341
  Batch [1100/1299] D_loss: -0.0607, G_loss: -0.6774
  Batch [1110/1299] D_loss: -0.6092, G_loss: 0.9843
  Batch [1120/1299] D_loss: -0.1318, G_loss: 0.4423
  Batch [1130/1299] D_loss: -0.5936, G_loss: -1.3326
  Batch [1140/1299] D_loss: -0.3111, G_loss: 0.5468
  Batch [1150/1299] D_loss: -0.6167, G_loss: -0.4467
  Batch [1160/1299] D_loss: -0.3675, G_loss: 0.5240
  Batch [1170/1299] D_loss: -0.2110, G_loss: -0.5524
  Batch [1180/1299] D_loss: -0.2470, G_loss: 1.4074
  Batch [1190/1299] D_loss: -0.2086, G_loss: -0.3478
  Batch [1200/1299] D_loss: -0.2558, G_loss: -0.5805
  Batch [1210/1299] D_loss: -0.5175, G_loss: 1.1827
  Batch [1220/1299] D_loss: -0.1393, G_loss: -0.3093
  Batch [1230/1299] D_loss: -0.3105, G_loss: 0.1415
  Batch [1240/1299] D_loss: -0.3505, G_loss: -0.5375
  Batch [1250/1299] D_loss: -0.5302, G_loss: -0.1050
  Batch [1260/1299] D_loss: -0.3653, G_loss: -0.4526
  Batch [1270/1299] D_loss: -0.2034, G_loss: 0.0635
  Batch [1280/1299] D_loss: -0.2793, G_loss: 0.0724
  Batch [1290/1299] D_loss: -0.2356, G_loss: 0.1707

Epoch 2 Summary:
  Average D_loss: -0.1006
  Average G_loss: 0.0892

Epoch [3/200]
  Batch [0/1299] D_loss: -0.3015, G_loss: 0.7893
  Batch [10/1299] D_loss: -0.7301, G_loss: -1.2037
  Batch [20/1299] D_loss: -0.0182, G_loss: 0.6375
  Batch [30/1299] D_loss: -0.3030, G_loss: -0.4745
  Batch [40/1299] D_loss: -0.3677, G_loss: 1.0942
  Batch [50/1299] D_loss: -0.3145, G_loss: -0.3280
  Batch [60/1299] D_loss: -0.0397, G_loss: -0.0459
  Batch [70/1299] D_loss: -0.3514, G_loss: -0.1320
  Batch [80/1299] D_loss: -0.3083, G_loss: 0.2783
  Batch [90/1299] D_loss: -0.3773, G_loss: -0.4169
  Batch [100/1299] D_loss: -0.3909, G_loss: -0.3870
  Batch [110/1299] D_loss: -0.4747, G_loss: 0.7379
  Batch [120/1299] D_loss: -0.3964, G_loss: -0.5420
  Batch [130/1299] D_loss: -0.4070, G_loss: 0.1451
  Batch [140/1299] D_loss: -0.2877, G_loss: 0.1396
  Batch [150/1299] D_loss: -0.1590, G_loss: -0.2127
  Batch [160/1299] D_loss: -0.1759, G_loss: 0.7932
  Batch [170/1299] D_loss: -0.2363, G_loss: -0.8940
  Batch [180/1299] D_loss: -0.3112, G_loss: 1.1585
  Batch [190/1299] D_loss: -0.1176, G_loss: -0.5922
  Batch [200/1299] D_loss: -0.3005, G_loss: 0.4074
  Batch [210/1299] D_loss: -0.7304, G_loss: -0.4574
  Batch [220/1299] D_loss: -0.2722, G_loss: 1.1049
  Batch [230/1299] D_loss: 0.1609, G_loss: -0.9692
  Batch [240/1299] D_loss: -0.1506, G_loss: 1.1192
  Batch [250/1299] D_loss: -0.2551, G_loss: -0.9119
  Batch [260/1299] D_loss: -0.2979, G_loss: -0.0061
  Batch [270/1299] D_loss: -0.2102, G_loss: -0.2179
  Batch [280/1299] D_loss: -0.4874, G_loss: 0.4141
  Batch [290/1299] D_loss: -0.4354, G_loss: 0.2787
  Batch [300/1299] D_loss: -0.4742, G_loss: 0.9981
  Batch [310/1299] D_loss: -0.2325, G_loss: 0.3078
  Batch [320/1299] D_loss: -0.0873, G_loss: -0.4881
  Batch [330/1299] D_loss: -0.3009, G_loss: 0.6451
  Batch [340/1299] D_loss: -0.4589, G_loss: -0.9669
  Batch [350/1299] D_loss: -0.1798, G_loss: 1.5106
  Batch [360/1299] D_loss: -0.1716, G_loss: -0.1995
  Batch [370/1299] D_loss: -0.2511, G_loss: 0.8375
  Batch [380/1299] D_loss: -0.3679, G_loss: -0.2205
  Batch [390/1299] D_loss: -0.3462, G_loss: 0.2396
  Batch [400/1299] D_loss: -0.3701, G_loss: 0.2194
  Batch [410/1299] D_loss: -0.6293, G_loss: -1.0548
  Batch [420/1299] D_loss: -0.3737, G_loss: 1.1293
  Batch [430/1299] D_loss: 0.0220, G_loss: -0.4471
  Batch [440/1299] D_loss: -0.6315, G_loss: 0.3162
  Batch [450/1299] D_loss: -0.6066, G_loss: -0.1368
  Batch [460/1299] D_loss: -0.1593, G_loss: 0.6070
  Batch [470/1299] D_loss: -0.2033, G_loss: 0.0626
  Batch [480/1299] D_loss: -0.1908, G_loss: -0.7740
  Batch [490/1299] D_loss: -0.0687, G_loss: 0.3565
  Batch [500/1299] D_loss: -0.3253, G_loss: -0.5903
  Batch [510/1299] D_loss: -0.2395, G_loss: 0.0565
  Batch [520/1299] D_loss: -0.3037, G_loss: 0.2912
  Batch [530/1299] D_loss: -0.2285, G_loss: 0.2296
  Batch [540/1299] D_loss: -0.3706, G_loss: 0.6842
  Batch [550/1299] D_loss: -0.2278, G_loss: -0.6675
  Batch [560/1299] D_loss: -0.1733, G_loss: 0.0591
  Batch [570/1299] D_loss: -0.3678, G_loss: -0.1016
  Batch [580/1299] D_loss: -0.2456, G_loss: 0.8974
  Batch [590/1299] D_loss: -0.3844, G_loss: -0.8721
  Batch [600/1299] D_loss: -0.3280, G_loss: 0.6061
  Batch [610/1299] D_loss: -0.0420, G_loss: 0.2874
  Batch [620/1299] D_loss: -0.0027, G_loss: -0.4927
  Batch [630/1299] D_loss: -0.1294, G_loss: 0.5447
  Batch [640/1299] D_loss: -0.2924, G_loss: 0.7191
  Batch [650/1299] D_loss: -0.3517, G_loss: -0.2317
  Batch [660/1299] D_loss: -0.0922, G_loss: -0.2224
  Batch [670/1299] D_loss: -0.2278, G_loss: 0.4528
  Batch [680/1299] D_loss: -0.1991, G_loss: -0.2856
  Batch [690/1299] D_loss: -0.3944, G_loss: 0.2469
  Batch [700/1299] D_loss: -0.2057, G_loss: 0.2760
  Batch [710/1299] D_loss: -0.3257, G_loss: -0.5129
  Batch [720/1299] D_loss: -0.3012, G_loss: 0.0523
  Batch [730/1299] D_loss: -0.2377, G_loss: 0.3562
  Batch [740/1299] D_loss: -0.2731, G_loss: 0.2660
  Batch [750/1299] D_loss: -0.3541, G_loss: -0.2996
  Batch [760/1299] D_loss: -0.1386, G_loss: 0.8575
  Batch [770/1299] D_loss: -0.4362, G_loss: -1.1942
  Batch [780/1299] D_loss: -0.3792, G_loss: 0.9109
  Batch [790/1299] D_loss: -0.2197, G_loss: 0.4095
  Batch [800/1299] D_loss: -0.3327, G_loss: 0.3562
  Batch [810/1299] D_loss: -0.2961, G_loss: -0.0196
  Batch [820/1299] D_loss: -0.3148, G_loss: 1.0762
  Batch [830/1299] D_loss: -0.2821, G_loss: -0.4666
  Batch [840/1299] D_loss: -0.2093, G_loss: -0.0116
  Batch [850/1299] D_loss: -0.2902, G_loss: -0.5822
  Batch [860/1299] D_loss: -0.4399, G_loss: 0.6782
  Batch [870/1299] D_loss: -0.3466, G_loss: 0.4839
  Batch [880/1299] D_loss: -0.5355, G_loss: 1.2675
  Batch [890/1299] D_loss: -0.3490, G_loss: -1.2160
  Batch [900/1299] D_loss: -0.2292, G_loss: -0.8212
  Batch [910/1299] D_loss: -0.3883, G_loss: 1.3044
  Batch [920/1299] D_loss: -0.6365, G_loss: -0.9425
  Batch [930/1299] D_loss: -0.3458, G_loss: 0.3167
  Batch [940/1299] D_loss: -0.4655, G_loss: 0.4035
  Batch [950/1299] D_loss: -0.2596, G_loss: 0.3415
  Batch [960/1299] D_loss: -0.4430, G_loss: 0.4174
  Batch [970/1299] D_loss: -0.1810, G_loss: 0.0043
  Batch [980/1299] D_loss: -0.3279, G_loss: 0.2558
  Batch [990/1299] D_loss: -0.2883, G_loss: -0.4277
  Batch [1000/1299] D_loss: -0.3824, G_loss: 0.3706
  Batch [1010/1299] D_loss: -0.3455, G_loss: -0.0995
  Batch [1020/1299] D_loss: -0.1824, G_loss: -0.1590
  Batch [1030/1299] D_loss: -0.1268, G_loss: 0.4637
  Batch [1040/1299] D_loss: -0.3067, G_loss: -0.3644
  Batch [1050/1299] D_loss: -0.4629, G_loss: 0.7328
  Batch [1060/1299] D_loss: -0.5269, G_loss: 0.2341
  Batch [1070/1299] D_loss: -0.3366, G_loss: -0.2983
  Batch [1080/1299] D_loss: -0.6022, G_loss: 0.0058
  Batch [1090/1299] D_loss: -0.5220, G_loss: 0.0349
  Batch [1100/1299] D_loss: -0.3772, G_loss: -0.2121
  Batch [1110/1299] D_loss: -0.4135, G_loss: 1.6141
  Batch [1120/1299] D_loss: -0.0613, G_loss: -0.9479
  Batch [1130/1299] D_loss: -0.2025, G_loss: 0.3093
  Batch [1140/1299] D_loss: -0.1958, G_loss: -0.6160
  Batch [1150/1299] D_loss: -0.2027, G_loss: 0.6204
  Batch [1160/1299] D_loss: -0.4628, G_loss: -1.8561
  Batch [1170/1299] D_loss: -0.2571, G_loss: 0.5616
  Batch [1180/1299] D_loss: -0.5146, G_loss: -0.9875
  Batch [1190/1299] D_loss: -0.3328, G_loss: 0.9181
  Batch [1200/1299] D_loss: -0.1093, G_loss: -0.4070
  Batch [1210/1299] D_loss: -0.2217, G_loss: 1.0864
  Batch [1220/1299] D_loss: -0.1696, G_loss: -1.0516
  Batch [1230/1299] D_loss: -0.3438, G_loss: 0.5580
  Batch [1240/1299] D_loss: -0.2594, G_loss: 0.1424
  Batch [1250/1299] D_loss: -0.2016, G_loss: 0.8162
  Batch [1260/1299] D_loss: -0.2790, G_loss: -0.3898
  Batch [1270/1299] D_loss: -0.2989, G_loss: 0.2523
  Batch [1280/1299] D_loss: -0.2857, G_loss: -0.8114
  Batch [1290/1299] D_loss: -0.1547, G_loss: 0.1160

Epoch 3 Summary:
  Average D_loss: -0.1087
  Average G_loss: 0.0618

Epoch [4/200]
  Batch [0/1299] D_loss: -0.3476, G_loss: 0.3122
  Batch [10/1299] D_loss: -0.3118, G_loss: 0.2267
  Batch [20/1299] D_loss: -0.6087, G_loss: -0.2905
  Batch [30/1299] D_loss: -0.2513, G_loss: 0.1039
  Batch [40/1299] D_loss: -0.0948, G_loss: -0.4754
  Batch [50/1299] D_loss: -0.1859, G_loss: 0.4247
  Batch [60/1299] D_loss: -0.4685, G_loss: -0.9241
  Batch [70/1299] D_loss: -0.3273, G_loss: 0.4222
  Batch [80/1299] D_loss: -0.2471, G_loss: 0.0419
  Batch [90/1299] D_loss: -0.4337, G_loss: 0.9376
  Batch [100/1299] D_loss: -0.2649, G_loss: -0.2480
  Batch [110/1299] D_loss: -0.2163, G_loss: -1.1428
  Batch [120/1299] D_loss: -0.1009, G_loss: 0.9903
  Batch [130/1299] D_loss: -0.2402, G_loss: -0.9787
  Batch [140/1299] D_loss: -0.6090, G_loss: 0.8269
  Batch [150/1299] D_loss: -0.3193, G_loss: -0.5941
  Batch [160/1299] D_loss: -0.2457, G_loss: 0.6195
  Batch [170/1299] D_loss: -0.3669, G_loss: 0.5125
  Batch [180/1299] D_loss: -0.3338, G_loss: -0.2730
  Batch [190/1299] D_loss: -0.3803, G_loss: 0.4106
  Batch [200/1299] D_loss: -0.4265, G_loss: -0.4984
  Batch [210/1299] D_loss: -0.2425, G_loss: 0.4693
  Batch [220/1299] D_loss: -0.2016, G_loss: -0.2135
  Batch [230/1299] D_loss: -0.2434, G_loss: 0.0021
  Batch [240/1299] D_loss: -0.3608, G_loss: -0.1284
  Batch [250/1299] D_loss: -0.0661, G_loss: 0.1183
  Batch [260/1299] D_loss: -0.1403, G_loss: -0.0498
